label,variable,Kruskal_Wallis_Statistic,p_value,significant
DNET,Density,6.671183315701447,0.009798411139470185,False
ASTR_LGG,Density,64.83343364705847,8.150443552058771e-16,True
EP,Density,39.52579923315505,3.237538230496401e-10,True
ATRT,Density,29.124866135021783,6.786039230183791e-08,True
MEN,Density,14.163793575566721,0.00016756407709432217,True
ASTR_HGG,Density,0.39644404082549767,0.5289314400342269,False
MED,Density,123.87583753953484,8.968351467657269e-29,True
GANG,Density,30.85486634752019,2.7806397796129005e-08,True
DIPG,Density,3.4871013599039946,0.061848791238706916,False
DNET,Positive,5.39824630123458,0.020156995664150103,False
ASTR_LGG,Positive,88.6446246341042,4.725088678972187e-21,True
EP,Positive,26.82874054012164,2.223064601540311e-07,True
ATRT,Positive,29.603486674989416,5.3009499877878114e-08,True
MEN,Positive,2.6145656247523457,0.10588651610857865,False
ASTR_HGG,Positive,16.48773073116329,4.896591695528224e-05,True
MED,Positive,118.18662755847238,1.5781773908291462e-27,True
GANG,Positive,22.67571287895111,1.9177659248706365e-06,True
DIPG,Positive,0.6603757586294284,0.4164273176998814,False
DNET,Pos_Density,5.632230433962468,0.0176331812152443,False
ASTR_LGG,Pos_Density,86.12017855693209,1.693262083741389e-20,True
EP,Pos_Density,20.65928218299434,5.487052940477174e-06,True
ATRT,Pos_Density,31.604222966692184,1.8901809822797698e-08,True
MEN,Pos_Density,0.15323204939566726,0.6954656342341332,False
ASTR_HGG,Pos_Density,31.11937326214318,2.4263759651819283e-08,True
MED,Pos_Density,128.33267272809513,9.492159503592973e-30,True
GANG,Pos_Density,42.46299481943885,7.203223986311497e-11,True
DIPG,Pos_Density,3.799770084911003,0.051259620995054954,False
DNET,Negative,2.899970171580673,0.0885811917296454,False
ASTR_LGG,Negative,26.5678609745241,2.5444145013579395e-07,True
EP,Negative,26.057743715874384,3.313571784131818e-07,True
ATRT,Negative,8.474128210715302,0.0036023298141048634,True
MEN,Negative,20.308032488573648,6.592324651737483e-06,True
ASTR_HGG,Negative,4.035543734911055,0.0445513167219496,False
MED,Negative,35.60223290681294,2.4200997628793182e-09,True
GANG,Negative,0.6132040370658599,0.4335839777575268,False
DIPG,Negative,8.884195743763458,0.002876497267058868,True
DNET,Neg_Density,6.758364731295394,0.009330923059637591,False
ASTR_LGG,Neg_Density,42.27652707714232,7.923790464441668e-11,True
EP,Neg_Density,38.098691801574596,6.725520868940598e-10,True
ATRT,Neg_Density,21.24457251129828,4.0425342776062515e-06,True
MEN,Neg_Density,20.88952728173521,4.865474353823016e-06,True
ASTR_HGG,Neg_Density,0.14285663414948255,0.7054574860384782,False
MED,Neg_Density,76.98513672049931,1.7224940859011751e-18,True
GANG,Neg_Density,25.341595409345604,4.802402600159009e-07,True
DIPG,Neg_Density,5.6754252715834825,0.0172041689381443,False
DNET,Ki67_LI,4.308205322264497,0.037928955500511875,False
ASTR_LGG,Ki67_LI,72.98313187655795,1.3076265654285885e-17,True
EP,Ki67_LI,12.744555771900767,0.0003570469343505927,True
ATRT,Ki67_LI,26.157625230640782,3.1465211440611097e-07,True
MEN,Ki67_LI,1.2336683217572892,0.26669482120115295,False
ASTR_HGG,Ki67_LI,40.905841899019904,1.597429163131032e-10,True
MED,Ki67_LI,102.84007756469408,3.633245990294837e-24,True
GANG,Ki67_LI,35.26903034469802,2.8716232542115916e-09,True
DIPG,Ki67_LI,7.770448941677036,0.005310784827219303,True
